,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge
48,2RobotsFull_R2_res0.05.pgm,0,180,-179.99999992586675,0.0024394264769931734,3786,3786,3786,surf,6.489631175994873,True,0.0
49,MiniOverlap_R1_res0.05.pgm,0,0,-0.0,0.0,4224,4224,4224,surf,4.363291501998901,True,0.0
50,MiniOverlap_R1_res0.05.pgm,0,30,30.03202273027537,0.8176079815997674,4224,4902,1492,surf,4.919851064682007,True,0.6360909342765808
51,MiniOverlap_R1_res0.05.pgm,0,60,59.98427408893327,0.797102992934642,4224,4922,1505,surf,5.03438663482666,True,0.24392735958099365
52,MiniOverlap_R1_res0.05.pgm,0,90,90.00000001826164,0.0022416083938269385,4224,4224,4224,surf,5.420965194702148,True,0.0
53,MiniOverlap_R1_res0.05.pgm,0,120,120.04671060892495,0.8179269989344871,4224,4902,1493,surf,4.372795343399048,True,0.5713505744934082
54,MiniOverlap_R1_res0.05.pgm,0,150,150.00290049582082,0.7959298958837074,4224,4926,1503,surf,5.634351491928101,True,0.23271891474723816
55,MiniOverlap_R1_res0.05.pgm,0,180,-179.99999992058653,0.0037101959374345613,4224,4224,4224,surf,5.162166595458984,True,0.0
56,MiniOverlap_R2_res0.05.pgm,0,0,-0.0,0.0,3282,3282,3282,surf,3.9689829349517822,True,0.0
57,MiniOverlap_R2_res0.05.pgm,0,30,29.96790252203542,0.8704292046225811,3282,5472,1352,surf,4.582923650741577,True,0.7516725659370422
58,MiniOverlap_R2_res0.05.pgm,0,60,59.95943244671867,0.8345836235837673,3282,5439,1339,surf,4.51359224319458,True,0.8436123728752136
59,MiniOverlap_R2_res0.05.pgm,0,90,89.99999998895157,0.00203520037657715,3282,3282,3282,surf,4.238077878952026,True,0.0
60,MiniOverlap_R2_res0.05.pgm,0,120,119.94746845894129,0.8684686749919509,3282,5471,1349,surf,5.026791095733643,True,0.7862160801887512
61,MiniOverlap_R2_res0.05.pgm,0,150,149.95294809269024,0.8338540257069493,3282,5438,1339,surf,4.855099439620972,True,0.48907285928726196
