,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,noise,scale,scale_recovered
41,MiniOverlap_R1_res0.05.pgm,1,0,-0.0021591491366720786,726.7733990147783,505,939,406,sift,6.684787273406982,True,0.43412214517593384,0.01,1,0.9999529660713762
42,MiniOverlap_R1_res0.05.pgm,2,0,-0.0014754856839903523,758.1564792176039,505,974,409,sift,7.211268186569214,False,1.8215304613113403,0.01,1,0.9999664184178539
43,MiniOverlap_R1_res0.05.pgm,3,0,-0.009397273478354971,758.1296296296297,505,1002,432,sift,6.641816854476929,True,0.4128311574459076,0.01,1,1.0001368804274673
44,MiniOverlap_R1_res0.05.pgm,4,0,0.0002934360379051256,757.4009546539379,505,1034,419,sift,6.803598403930664,True,0.2716902196407318,0.01,1,1.000056898720517
45,MiniOverlap_R1_res0.05.pgm,0,0,0.0032824639040190404,1198.7903225806451,505,2842,434,sift,7.121736526489258,False,122.55224609375,0.02,1,1.0000224623821987
46,MiniOverlap_R1_res0.05.pgm,1,0,0.004705502106676574,1191.3073286052008,505,2965,423,sift,6.9476847648620605,False,182.6212921142578,0.02,1,0.999792860303221
47,MiniOverlap_R1_res0.05.pgm,2,0,-0.0022463579112099175,1282.3057471264367,505,2849,435,sift,6.977556228637695,False,193.49307250976562,0.02,1,1.0000740872727805
48,MiniOverlap_R1_res0.05.pgm,3,0,0.003625120853434849,1273.7494252873564,505,2963,435,sift,6.867941617965698,False,145.28060913085938,0.02,1,1.0000229458209096
49,MiniOverlap_R1_res0.05.pgm,4,0,-0.0016558123218026325,1195.1525821596244,505,2845,426,sift,6.868365287780762,False,137.09298706054688,0.02,1,0.9999664907651564
50,MiniOverlap_R1_res0.05.pgm,0,0,0.002892356407411829,1499.357476635514,505,6957,428,sift,7.245887041091919,False,264.5066223144531,0.03,1,0.9998136340241891
51,MiniOverlap_R1_res0.05.pgm,1,0,0.0066150423962798915,1472.0,505,7049,433,sift,7.216900110244751,False,272.9361572265625,0.03,1,0.9997825803882612
52,MiniOverlap_R1_res0.05.pgm,2,0,0.0014272096925151097,1578.1588785046729,505,6981,428,sift,7.159484386444092,False,268.4559020996094,0.03,1,0.9999125703831737
53,MiniOverlap_R1_res0.05.pgm,3,0,0.0024870695045360177,1501.715909090909,505,7131,440,sift,7.1778199672698975,False,251.69639587402344,0.03,1,1.0002519005348334
54,MiniOverlap_R1_res0.05.pgm,4,0,-0.0009896553294490758,1517.0471698113208,505,7204,424,sift,7.168656349182129,False,246.4857177734375,0.03,1,1.0000535832214015
55,MiniOverlap_R1_res0.05.pgm,0,0,0.010433022307586503,1658.3,505,13712,420,sift,7.611167669296265,False,380.8460388183594,0.04,1,0.9999418267612806
56,MiniOverlap_R1_res0.05.pgm,1,0,-0.0017910710769932167,1699.0648148148148,505,13132,432,sift,7.555499076843262,False,371.4559326171875,0.04,1,1.0003515779757994
57,MiniOverlap_R1_res0.05.pgm,2,0,0.0034910040554914884,1659.4074074074074,505,13136,432,sift,7.551424264907837,False,340.8974914550781,0.04,1,1.000194202754784
58,MiniOverlap_R1_res0.05.pgm,3,0,0.007835892540375552,1635.3223529411764,505,13049,425,sift,7.624633073806763,False,347.96722412109375,0.04,1,1.0001984281234613
59,MiniOverlap_R1_res0.05.pgm,4,0,-0.011484329107556666,1719.8074245939674,505,13097,431,sift,7.588453054428101,False,298.75360107421875,0.04,1,0.9992194978308759
60,MiniOverlap_R2_res0.05.pgm,0,0,0.002932237283031871,787.7986270022883,539,1069,437,sift,6.960697889328003,True,0.9713590145111084,0.01,1,1.0000431731950452
61,MiniOverlap_R2_res0.05.pgm,1,0,-0.0027510825626275537,870.2529002320185,539,981,431,sift,6.808912038803101,True,0.6862948536872864,0.01,1,1.0000127594352983
62,MiniOverlap_R2_res0.05.pgm,2,0,-0.008384430871257075,816.7810383747178,539,940,443,sift,6.634293079376221,True,0.5752913951873779,0.01,1,1.0000179034013081
63,MiniOverlap_R2_res0.05.pgm,3,0,0.008870866864459172,877.677927927928,539,983,444,sift,6.634235143661499,True,0.7282814979553223,0.01,1,1.0000005487012928
64,MiniOverlap_R2_res0.05.pgm,4,0,0.0029415177152941527,872.2612612612612,539,989,444,sift,6.611511945724487,True,0.6406883597373962,0.01,1,0.9999171114480742
65,MiniOverlap_R2_res0.05.pgm,0,0,-0.0052281506665424375,1296.7105263157894,539,2883,456,sift,7.00590443611145,False,189.38815307617188,0.02,1,0.9999634592060074
66,MiniOverlap_R2_res0.05.pgm,1,0,0.005840934655082082,1308.326754385965,539,2870,456,sift,6.994207143783569,False,105.90184020996094,0.02,1,1.0001284592807274
67,MiniOverlap_R2_res0.05.pgm,2,0,0.010186988545657458,1259.7875288683604,539,2820,433,sift,7.0871052742004395,False,226.55630493164062,0.02,1,0.9999705140801128
68,MiniOverlap_R2_res0.05.pgm,3,0,-0.005206822824881647,1298.219954648526,539,2948,441,sift,7.114665746688843,False,234.15382385253906,0.02,1,1.0000950630799563
69,MiniOverlap_R2_res0.05.pgm,4,0,0.008235890173200642,1315.4355555555555,539,2934,450,sift,6.992082118988037,False,241.33384704589844,0.02,1,1.0000293868217136
70,MiniOverlap_R2_res0.05.pgm,0,0,-0.00214051631587531,1544.4734513274336,539,6988,452,sift,7.233735084533691,False,295.29083251953125,0.03,1,1.0000365043520034
71,MiniOverlap_R2_res0.05.pgm,1,0,-0.004119757943025462,1571.1269487750558,539,6985,449,sift,7.661428451538086,False,303.6675720214844,0.03,1,0.9998949646472741
72,MiniOverlap_R2_res0.05.pgm,2,0,-0.0068862906096261705,1587.765625,539,7147,448,sift,7.194993019104004,False,298.5274963378906,0.03,1,1.0002006210119008
73,MiniOverlap_R2_res0.05.pgm,3,0,0.002326729858822013,1561.1982182628062,539,7151,449,sift,7.267904281616211,False,295.753173828125,0.03,1,1.0001204337586767
