,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,x_recovered,y_recovered,x_delta_origin,y_delta_origin
293,2RobotsFull_R1_res0.05.pgm,3,0,-4.606227344934483e-07,0.007925499291908174,4291,1371,1369,surf,5.640809059143066,True,0.0,799.9999931628857,799.9999736213208,800,800
294,2RobotsFull_R1_res0.05.pgm,4,0,-4.606227344934483e-07,0.007925499291908174,4291,1371,1369,surf,5.55110502243042,True,0.0,799.9999931628857,799.9999736213208,800,800
295,2RobotsFull_R1_res0.05.pgm,0,0,0.0002995431784397753,0.013917668685501169,4291,1104,1093,surf,5.346094369888306,True,0.0,900.0051928713023,900.015693717271,900,900
296,2RobotsFull_R1_res0.05.pgm,1,0,0.0002995431784397753,0.013917668685501169,4291,1104,1093,surf,5.502220630645752,True,0.0,900.0051928713023,900.015693717271,900,900
297,2RobotsFull_R1_res0.05.pgm,2,0,0.0002995431784397753,0.013917668685501169,4291,1104,1093,surf,5.339334964752197,True,0.0,900.0051928713023,900.015693717271,900,900
298,2RobotsFull_R1_res0.05.pgm,3,0,0.0002995431784397753,0.013917668685501169,4291,1104,1093,surf,5.544399976730347,True,0.0,900.0051928713023,900.015693717271,900,900
299,2RobotsFull_R1_res0.05.pgm,4,0,0.0002995431784397753,0.013917668685501169,4291,1104,1093,surf,5.828829526901245,True,0.0,900.0051928713023,900.015693717271,900,900
300,2RobotsFull_R2_res0.05.pgm,0,0,-0.0,0.0,3786,3786,3786,surf,6.722190618515015,True,0.0,0.0,0.0,0,0
301,2RobotsFull_R2_res0.05.pgm,1,0,-0.0,0.0,3786,3786,3786,surf,6.425727605819702,True,0.0,0.0,0.0,0,0
302,2RobotsFull_R2_res0.05.pgm,2,0,-0.0,0.0,3786,3786,3786,surf,6.626597166061401,True,0.0,0.0,0.0,0,0
303,2RobotsFull_R2_res0.05.pgm,3,0,-0.0,0.0,3786,3786,3786,surf,6.5967419147491455,True,0.0,0.0,0.0,0,0
304,2RobotsFull_R2_res0.05.pgm,4,0,-0.0,0.0,3786,3786,3786,surf,6.506115913391113,True,0.0,0.0,0.0,0,0
305,2RobotsFull_R2_res0.05.pgm,0,0,0.00017031317225987496,0.0022079535738915084,3786,3788,3770,surf,6.329001426696777,True,0.0,99.99795935547824,100.0047590146328,100,100
