,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,scale,scale_recovered
47,MiniOverlap_R1_res0.05.pgm,2,0,0.010568313611990628,723.2178217821782,505,132,101,sift,1.1873703002929688,False,40.671592712402344,0.4,0.3998665684492931
48,MiniOverlap_R1_res0.05.pgm,3,0,0.010568313611990628,723.2178217821782,505,132,101,sift,1.1689579486846924,False,40.671592712402344,0.4,0.3998665684492931
49,MiniOverlap_R1_res0.05.pgm,4,0,0.010568313611990628,723.2178217821782,505,132,101,sift,1.1934938430786133,False,40.671592712402344,0.4,0.3998665684492931
50,MiniOverlap_R1_res0.05.pgm,0,0,-0.001453103224661604,704.3071895424837,505,196,153,sift,1.635134220123291,True,0.7627534866333008,0.6,0.5994493114334469
51,MiniOverlap_R1_res0.05.pgm,1,0,-0.001453103224661604,704.3071895424837,505,196,153,sift,1.6479132175445557,True,0.7627534866333008,0.6,0.5994493114334469
52,MiniOverlap_R1_res0.05.pgm,2,0,-0.001453103224661604,704.3071895424837,505,196,153,sift,1.6072998046875,True,0.7627534866333008,0.6,0.5994493114334469
53,MiniOverlap_R1_res0.05.pgm,3,0,-0.001453103224661604,704.3071895424837,505,196,153,sift,1.4473578929901123,True,0.7627534866333008,0.6,0.5994493114334469
54,MiniOverlap_R1_res0.05.pgm,4,0,-0.001453103224661604,704.3071895424837,505,196,153,sift,1.4905860424041748,True,0.7627534866333008,0.6,0.5994493114334469
55,MiniOverlap_R1_res0.05.pgm,0,0,0.00022938898319401372,577.539033457249,505,363,269,sift,2.0605337619781494,True,0.11774841696023941,0.8,0.7997215360864703
56,MiniOverlap_R1_res0.05.pgm,1,0,0.00022938898319401372,577.539033457249,505,363,269,sift,2.051823377609253,True,0.11774841696023941,0.8,0.7997215360864703
57,MiniOverlap_R1_res0.05.pgm,2,0,0.00022938898319401372,577.539033457249,505,363,269,sift,2.058932065963745,True,0.11774841696023941,0.8,0.7997215360864703
58,MiniOverlap_R1_res0.05.pgm,3,0,0.00022938898319401372,577.539033457249,505,363,269,sift,2.047819137573242,True,0.11774841696023941,0.8,0.7997215360864703
59,MiniOverlap_R1_res0.05.pgm,4,0,0.00022938898319401372,577.539033457249,505,363,269,sift,2.059051036834717,True,0.11774841696023941,0.8,0.7997215360864703
60,MiniOverlap_R2_res0.05.pgm,0,0,-0.025089139668668634,631.921875,539,68,64,sift,0.7934215068817139,False,10.146707534790039,0.2,0.19963222016036303
61,MiniOverlap_R2_res0.05.pgm,1,0,-0.025089139668668634,631.921875,539,68,64,sift,0.7919507026672363,False,10.146707534790039,0.2,0.19963222016036303
62,MiniOverlap_R2_res0.05.pgm,2,0,-0.025089139668668634,631.921875,539,68,64,sift,0.792881965637207,False,10.146707534790039,0.2,0.19963222016036303
63,MiniOverlap_R2_res0.05.pgm,3,0,-0.025089139668668634,631.921875,539,68,64,sift,0.7781128883361816,False,10.146707534790039,0.2,0.19963222016036303
64,MiniOverlap_R2_res0.05.pgm,4,0,-0.025089139668668634,631.921875,539,68,64,sift,0.7942674160003662,False,10.146707534790039,0.2,0.19963222016036303
65,MiniOverlap_R2_res0.05.pgm,0,0,0.0014903166236664544,694.2307692307693,539,127,117,sift,1.0695304870605469,False,39.96298599243164,0.4,0.39978948454589613
66,MiniOverlap_R2_res0.05.pgm,1,0,0.0014903166236664544,694.2307692307693,539,127,117,sift,1.0690248012542725,False,39.96298599243164,0.4,0.39978948454589613
67,MiniOverlap_R2_res0.05.pgm,2,0,0.0014903166236664544,694.2307692307693,539,127,117,sift,1.0696642398834229,False,39.96298599243164,0.4,0.39978948454589613
68,MiniOverlap_R2_res0.05.pgm,3,0,0.0014903166236664544,694.2307692307693,539,127,117,sift,1.1100594997406006,False,39.96298599243164,0.4,0.39978948454589613
69,MiniOverlap_R2_res0.05.pgm,4,0,0.0014903166236664544,694.2307692307693,539,127,117,sift,1.156616449356079,False,39.96298599243164,0.4,0.39978948454589613
70,MiniOverlap_R2_res0.05.pgm,0,0,-0.008934847679823728,768.8562091503268,539,189,153,sift,1.4707870483398438,True,0.43771663308143616,0.6,0.5994683376054069
71,MiniOverlap_R2_res0.05.pgm,1,0,-0.008934847679823728,768.8562091503268,539,189,153,sift,1.4717090129852295,True,0.43771663308143616,0.6,0.5994683376054069
72,MiniOverlap_R2_res0.05.pgm,2,0,-0.008934847679823728,768.8562091503268,539,189,153,sift,1.4627625942230225,True,0.43771663308143616,0.6,0.5994683376054069
73,MiniOverlap_R2_res0.05.pgm,3,0,-0.008934847679823728,768.8562091503268,539,189,153,sift,1.492384433746338,True,0.43771663308143616,0.6,0.5994683376054069
74,MiniOverlap_R2_res0.05.pgm,4,0,-0.008934847679823728,768.8562091503268,539,189,153,sift,1.471019983291626,True,0.43771663308143616,0.6,0.5994683376054069
75,MiniOverlap_R2_res0.05.pgm,0,0,-0.005768112254835204,629.6503759398496,539,336,266,sift,2.061009168624878,True,0.15824022889137268,0.8,0.7996543483394027
76,MiniOverlap_R2_res0.05.pgm,1,0,-0.005768112254835204,629.6503759398496,539,336,266,sift,2.066624164581299,True,0.15824022889137268,0.8,0.7996543483394027
77,MiniOverlap_R2_res0.05.pgm,2,0,-0.005768112254835204,629.6503759398496,539,336,266,sift,2.0311102867126465,True,0.15824022889137268,0.8,0.7996543483394027
78,MiniOverlap_R2_res0.05.pgm,3,0,-0.005768112254835204,629.6503759398496,539,336,266,sift,2.0570483207702637,True,0.15824022889137268,0.8,0.7996543483394027
79,MiniOverlap_R2_res0.05.pgm,4,0,-0.005768112254835204,629.6503759398496,539,336,266,sift,2.053166389465332,True,0.15824022889137268,0.8,0.7996543483394027
80,FuulPath_res0.05.pgm,0,0,-0.001860206996772955,654.96,530,62,50,sift,0.7788829803466797,False,65.13327026367188,0.2,0.19967671243473778
81,FuulPath_res0.05.pgm,1,0,-0.001860206996772955,654.96,530,62,50,sift,0.7681005001068115,False,65.13327026367188,0.2,0.19967671243473778
82,FuulPath_res0.05.pgm,2,0,-0.001860206996772955,654.96,530,62,50,sift,0.7935407161712646,False,65.13327026367188,0.2,0.19967671243473778
83,FuulPath_res0.05.pgm,3,0,-0.001860206996772955,654.96,530,62,50,sift,0.7938706874847412,False,65.13327026367188,0.2,0.19967671243473778
84,FuulPath_res0.05.pgm,4,0,-0.001860206996772955,654.96,530,62,50,sift,0.7819976806640625,False,65.13327026367188,0.2,0.19967671243473778
85,FuulPath_res0.05.pgm,0,0,-0.009848150133294304,813.7837837837837,530,84,74,sift,1.0550038814544678,False,112.83573150634766,0.4,0.3996422167593247
86,FuulPath_res0.05.pgm,1,0,-0.009848150133294304,813.7837837837837,530,84,74,sift,1.054530143737793,False,112.83573150634766,0.4,0.3996422167593247
87,FuulPath_res0.05.pgm,2,0,-0.009848150133294304,813.7837837837837,530,84,74,sift,1.033562421798706,False,112.83573150634766,0.4,0.3996422167593247
88,FuulPath_res0.05.pgm,3,0,-0.009848150133294304,813.7837837837837,530,84,74,sift,1.0649445056915283,False,112.83573150634766,0.4,0.3996422167593247
89,FuulPath_res0.05.pgm,4,0,-0.009848150133294304,813.7837837837837,530,84,74,sift,1.066845178604126,False,112.83573150634766,0.4,0.3996422167593247
90,FuulPath_res0.05.pgm,0,0,-0.003942231014231959,856.7179487179487,530,138,117,sift,1.4744923114776611,True,0.5515429973602295,0.6,0.5995742523110178
91,FuulPath_res0.05.pgm,1,0,-0.003942231014231959,856.7179487179487,530,138,117,sift,1.4690485000610352,True,0.5515429973602295,0.6,0.5995742523110178
92,FuulPath_res0.05.pgm,2,0,-0.003942231014231959,856.7179487179487,530,138,117,sift,1.5176360607147217,True,0.5515429973602295,0.6,0.5995742523110178
93,FuulPath_res0.05.pgm,3,0,-0.003942231014231959,856.7179487179487,530,138,117,sift,1.4938747882843018,True,0.5515429973602295,0.6,0.5995742523110178
94,FuulPath_res0.05.pgm,4,0,-0.003942231014231959,856.7179487179487,530,138,117,sift,1.4697227478027344,True,0.5515429973602295,0.6,0.5995742523110178
95,FuulPath_res0.05.pgm,0,0,0.0002686889059045875,598.1660079051384,530,332,253,sift,2.1137709617614746,True,0.16786743700504303,0.8,0.7998259679335953
96,FuulPath_res0.05.pgm,1,0,0.0002686889059045875,598.1660079051384,530,332,253,sift,2.1072499752044678,True,0.16786743700504303,0.8,0.7998259679335953
97,FuulPath_res0.05.pgm,2,0,0.0002686889059045875,598.1660079051384,530,332,253,sift,2.0829031467437744,True,0.16786743700504303,0.8,0.7998259679335953
98,FuulPath_res0.05.pgm,3,0,0.0002686889059045875,598.1660079051384,530,332,253,sift,2.0663681030273438,True,0.16786743700504303,0.8,0.7998259679335953
99,FuulPath_res0.05.pgm,4,0,0.0002686889059045875,598.1660079051384,530,332,253,sift,2.0454797744750977,True,0.16786743700504303,0.8,0.7998259679335953
100,2RobotsFull_R1_res0.05.pgm,0,0,0.07267702082632937,0.6576407355372258,4291,303,217,surf,1.672515630722046,False,20.986675262451172,0.2,0.19977523423682458
101,2RobotsFull_R1_res0.05.pgm,1,0,0.07267702082632937,0.6576407355372258,4291,303,217,surf,1.681710958480835,False,20.986675262451172,0.2,0.19977523423682458
102,2RobotsFull_R1_res0.05.pgm,2,0,0.07267702082632937,0.6576407355372258,4291,303,217,surf,1.6807236671447754,False,20.986675262451172,0.2,0.19977523423682458
103,2RobotsFull_R1_res0.05.pgm,3,0,0.07267702082632937,0.6576407355372258,4291,303,217,surf,1.7041549682617188,False,20.986675262451172,0.2,0.19977523423682458
