,FileNames,ransacReprojThreshold,combinations,calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,percentage_outliers,calculated_scale
250,Block_R1_res0.05.pgm_SouthWing_res0.05.pgm,8,26,-1.3358445232194525,1511.2789115646258,256,366,147,sift,3.1585192680358887,False,383.7781066894531,0.0,0.11009648307391853
251,Block_R2_res0.05.pgm_SouthWing_res0.05.pgm,8,27,102.59136493523134,1598.3275862068965,325,366,174,sift,4.239663124084473,False,235.03546142578125,4.545454545454546,0.053165684881676334
252,2RobotsFull_R2_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,9,0,41.62081059932412,1406.9669421487604,528,492,242,sift,7.195719957351685,False,533.8973999023438,0.7782101167315175,0.997156871092112
253,2RobotsFull_R1_res0.05.pgm_MiniOverlap_R1_res0.05.pgm,9,1,-5.984890228062438,1467.1829268292684,492,505,246,sift,4.390313148498535,False,432.31683349609375,0.819672131147541,0.9965159014120731
254,2RobotsFull_R1_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,9,2,-1.9629755404864973,1473.0152671755725,492,539,262,sift,4.497935056686401,False,486.5670471191406,0.0,0.9979460295685258
255,2RobotsFull_R1_res0.05.pgm_FuulPath_res0.05.pgm,9,3,-4.460454006225619,1396.7543859649122,492,530,228,sift,4.457080841064453,False,474.618408203125,0.0,1.001689248396702
256,Block_R1_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,9,4,-8.43342261593768,1486.0,256,492,183,sift,6.112653732299805,False,536.0327758789062,0.0,1.0045926011087067
257,2RobotsFull_R1_res0.05.pgm_Block_R2_res0.05.pgm,9,5,-6.477355547233131,1451.2421052631578,492,325,190,sift,7.06316876411438,False,501.830322265625,0.0,0.9967998348749746
258,SouthWing_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,9,6,-89.05252057589851,1374.9452736318408,366,492,201,sift,6.166507959365845,False,740.6626586914062,0.0,0.9985483621712553
259,2RobotsFull_R2_res0.05.pgm_MiniOverlap_R1_res0.05.pgm,9,7,35.81093534140067,1368.9961240310076,528,505,258,sift,4.402227401733398,False,399.8701171875,0.38022813688212925,0.9960401471425229
260,2RobotsFull_R2_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,9,8,38.662885515552524,1472.2972972972973,528,539,259,sift,4.48201584815979,False,553.4249267578125,0.0,0.9895732737570805
261,2RobotsFull_R2_res0.05.pgm_FuulPath_res0.05.pgm,9,9,37.28187340225412,1275.2517985611512,528,530,278,sift,4.46705436706543,False,454.03021240234375,0.0,1.0034290441208922
262,Block_R1_res0.05.pgm_2RobotsFull_R2_res0.05.pgm,9,10,-50.240873838677814,1362.7423312883436,256,528,163,sift,6.170496940612793,False,443.7655944824219,0.0,1.0066539737481635
263,2RobotsFull_R2_res0.05.pgm_Block_R2_res0.05.pgm,9,11,34.6621097564154,1403.579207920792,528,325,202,sift,7.079124450683594,False,435.49725341796875,0.0,1.001914632628591
264,2RobotsFull_R2_res0.05.pgm_SouthWing_res0.05.pgm,9,12,109.3266984445233,1409.675799086758,528,366,219,sift,4.404222249984741,False,463.11749267578125,0.0,0.7697147791233819
265,MiniOverlap_R1_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,9,13,-160.58188753434058,1505.3764258555134,505,539,263,sift,3.310147762298584,False,530.4452514648438,0.546448087431694,0.7092017000251987
266,MiniOverlap_R1_res0.05.pgm_FuulPath_res0.05.pgm,9,14,1.4233509189341023,1331.4716981132076,505,530,265,sift,3.4188952445983887,False,492.53912353515625,0.37593984962406013,0.9990035576440666
267,MiniOverlap_R1_res0.05.pgm_Block_R1_res0.05.pgm,9,15,14.224505368370616,1277.700680272109,505,256,147,sift,3.2732131481170654,False,301.71539306640625,4.635761589403973,1.001502858073357
268,MiniOverlap_R1_res0.05.pgm_Block_R2_res0.05.pgm,9,16,-0.5944162257648333,1402.5625,505,325,208,sift,6.14960789680481,False,341.1033935546875,0.9259259259259258,0.9982601834254956
269,MiniOverlap_R1_res0.05.pgm_SouthWing_res0.05.pgm,9,17,167.22082905979715,1529.5625,505,366,208,sift,3.4373764991760254,False,524.3552856445312,1.4134275618374559,1.5562999146837897
270,MiniOverlap_R2_res0.05.pgm_FuulPath_res0.05.pgm,9,18,-2.211861161852483,1426.238683127572,539,530,243,sift,3.33807635307312,False,508.213134765625,0.0,0.9982174956881444
271,MiniOverlap_R2_res0.05.pgm_Block_R1_res0.05.pgm,9,19,97.72468509563414,1233.8137931034482,539,256,145,sift,3.2223453521728516,False,397.2104797363281,0.9900990099009901,0.6420812303934347
272,MiniOverlap_R2_res0.05.pgm_Block_R2_res0.05.pgm,9,20,1.8243020249702042,1486.9842105263158,539,325,190,sift,5.950086832046509,False,128.45301818847656,25.0,0.004102072331048359
273,MiniOverlap_R2_res0.05.pgm_SouthWing_res0.05.pgm,9,21,-179.17739086092917,1492.6359223300972,539,366,206,sift,3.352036476135254,False,505.0928039550781,0.0,1.2867618009821422
274,FuulPath_res0.05.pgm_Block_R1_res0.05.pgm,9,22,12.910732348437007,1252.5833333333333,530,256,156,sift,3.2423295974731445,False,415.2803039550781,0.0,0.991666911374619
275,FuulPath_res0.05.pgm_Block_R2_res0.05.pgm,9,23,-2.2190459030281353,1418.010101010101,530,325,198,sift,6.207401752471924,False,550.8751831054688,1.0050251256281406,1.0005695103852084
276,FuulPath_res0.05.pgm_SouthWing_res0.05.pgm,9,24,52.63512800700677,1487.663594470046,530,366,217,sift,3.175560235977173,False,369.4621887207031,0.0,0.07568017342265682
