,FileNames,ransacReprojThreshold,combinations,calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,percentage_outliers,calculated_scale
157,MiniOverlap_R1_res0.05.pgm_SouthWing_res0.05.pgm,5,17,-25.912438074540592,1403.1904761904761,694,470,273,sift,3.9609484672546387,False,675.4214477539062,0.0,1.6453798373060575
158,MiniOverlap_R2_res0.05.pgm_FuulPath_res0.05.pgm,5,18,-2.6454305264567632,1363.9932432432433,708,657,296,sift,3.6399712562561035,False,518.3722534179688,0.0,1.000432425295276
159,MiniOverlap_R2_res0.05.pgm_Block_R1_res0.05.pgm,5,19,102.51694248320408,1294.1884816753927,708,334,191,sift,3.5099895000457764,False,464.25787353515625,0.0,1.0311643022463286
160,MiniOverlap_R2_res0.05.pgm_Block_R2_res0.05.pgm,5,20,-24.3678910795589,1433.0806451612902,708,460,248,sift,6.325192213058472,False,144.37368774414062,33.33333333333333,0.005825790865726604
161,MiniOverlap_R2_res0.05.pgm_SouthWing_res0.05.pgm,5,21,174.60592253267637,1360.7340823970037,708,470,267,sift,4.112648963928223,False,480.6053161621094,0.0,1.0580054336646536
162,FuulPath_res0.05.pgm_Block_R1_res0.05.pgm,5,22,13.078580385285091,1176.4717948717948,657,334,195,sift,4.6131744384765625,False,410.87115478515625,0.0,0.9935584903761169
163,FuulPath_res0.05.pgm_Block_R2_res0.05.pgm,5,23,-2.006067220351027,1376.8803088803088,657,460,259,sift,7.03969669342041,False,548.7047729492188,0.0,1.000896931969412
164,FuulPath_res0.05.pgm_SouthWing_res0.05.pgm,5,24,78.40609232596306,1445.0503875968993,657,470,258,sift,3.6064348220825195,False,325.2086486816406,0.0,0.11865126572181166
165,Block_R1_res0.05.pgm_Block_R2_res0.05.pgm,5,25,-15.101475457141094,1329.816037735849,334,460,212,sift,7.073784828186035,False,424.3974609375,0.78125,1.0013022464483656
166,Block_R1_res0.05.pgm_SouthWing_res0.05.pgm,5,26,80.92250447484636,1459.6858638743456,334,470,191,sift,4.084440231323242,False,461.516357421875,0.0,1.009930589028853
167,Block_R2_res0.05.pgm_SouthWing_res0.05.pgm,5,27,96.58015169526409,1375.556074766355,460,470,214,sift,5.348594665527344,False,448.3688659667969,0.0,1.0140665344877469
168,2RobotsFull_R2_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,6,0,-42.83267429945121,1521.0655172413792,567,658,290,sift,8.139238834381104,False,609.7031860351562,0.0,0.8539504223630846
